Product_Initial_Info,"Vielen Dank für für weitere Informationen zu diesem Produkt in Verbindung zu setzen.
Im Folgenden sind relevante Links auf diese Frage.
[Produktinformation]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Produkt-Info, Informationen über Produkt, zu Planung kaufen"
Product_Price,"Vielen Dank für die in Bezug auf Preis dieses Produkt / Dienstleistung in Verbindung zu setzen. Hier sind Details.
[Produktkosten Info]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Kosten, Preis, Kosten, Steuer"
Product_PreSales,"Vielen Dank für die in Bezug auf ihr in Verbindung zu setzen dieses Produkt zu kaufen.
Hier sind Details.
[Product Sales Info]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Pre-Sale Frage, Vor dem Kauf Vor dem Verkauf,"
Order_info,"Vielen Dank für die in Bezug auf Status Ihrer Produktbestellung in Verbindung zu setzen.
Hier sind Details.
[Produktbestelldetails]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Bestell-Status, Bestell-Info"
Product_Return,"Danke für in Verbindung zu setzen in Bezug auf Ihre Anfrage auf Rückgabe von Produktbestellungen.
Hier sind Details.
[Produkt Return Details]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Bestellen Sie Return, Versand zurück,"
Product_Delivery_Status,"Vielen Dank für die in Bezug auf die Lieferung Ihrer Bestellung in Verbindung zu setzen.
Hier sind Details.
[Produktlieferstatus Details]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Versand / Lieferung, Produktlieferung,"
Vendor_Issue,"Es tut uns Leid zu hören, dass Sie Problem mit unserem Vendor haben. Wir fragen über diese Vorfälle und werden Sie in Kürze aktualisieren.",Vendor Ausgabe
Affiliate_Issue,"Es tut uns Leid zu hören, dass Sie Probleme mit unserem Partner haben. Wir fragen über diese Vorfälle und werden Sie in Kürze aktualisieren.",Affiliate-Ausgabe
Product_Availability,"Vielen Dank für die in Bezug auf die Verfügbarkeit dieses Artikels in Verbindung zu setzen.
Hier sind Details.
[Produktverfügbarkeit Details]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.",Produktverfügbarkeit
Technical_Issue,"Es tut uns Leid zu hören, dass Ihr diese technischen Probleme haben. Wir sind in dem Prozess sich zu lösen, und wir werden in Kürze auf Ihnen zurückkommen.","Technisches Problem, nicht funktioniert,"
Product_Defective,"Es tut uns Leid zu hören, dass Sie das defekte Produkt erhalten. Wir arrangieren aus diesem holen und wird mit mehr Status zu Ihnen zurück.","Defekte, Zerbrochen, Versagende"
Order_Cancel_Request,"Es tut uns Leid zu hören, dass Sie diesen Auftrag zurückziehen möchten. Wir arbeiten daran, die Bestellung zu stornieren. Sie werden bald über seinen Status aktualisieren.","Meine Bestellung stornieren, stornieren Lieferung Produkt"
Product_Refund_Request,"Wir haben Ihre Anfrage für Rückerstattung erhalten. Hier ist Updates auf sich.
[Update auf Rückerstattung]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.",Rückerstattung
Subscription_new,"Vielen Dank für die in Bezug Abonnement für den Service in Verbindung zu setzen.
Hier sind Details.
[Service Abonnement Details]
Hoffe das hilft. Bitte teilen Sie uns von jeder anderen Anforderung oder Bedenken.","Starten Sie mein Abonnement, Abonnieren Sie mir,"
Subscription_Renewal,"Vielen Dank für die in Bezug auf ihr in Verbindung zu setzen, um diesen Service Erneuerung des Abonnements.
Hier sind Details.
[Service Abonnement Details]
Hoffe das hilft. Bitte teilen Sie uns von jeder anderen Anforderung.",Abo-Verlängerung
Service_Disruption,"Es tut uns Leid zu hören, dass Sie Service-Unterbrechung Problem konfrontiert sind. Wir arbeiten daran, und wir werden bald wieder auf mit spezifischeren Update erhalten.",Störung
Service_Cancel_request,"Es tut uns Leid zu hören, dass Sie Ihr Abonnement kündigen möchten. Ich kann das mit Sicherheit für Sie tun. Würden Sie mir bitte sagen, warum du Cancelling? Wenn es mit dem Produkt oder Service-Qualität zu tun hat, würden wir gerne wissen, weil wir immer zu verbessern streben.","Abmelden, Stornierung, Unterbrechen"
Software_bug,"Vielen Dank für diesen Fehler in unserem Produkt berichten. Wir haben begonnen, daran zu arbeiten, und bald werden wir Sie auf ihre Resolution aktualisieren.","Bug, Ausgabe,"
Software_Feature_Request,Vielen Dank für diese neue Funktion für unser Produkt hindeutet. Wir freuen uns auf jeden Fall Ihre Mühe und bald werden wir zurück zu Ihnen mit unserem Plan um es bekommen.,"Feature Request, Neues Feature,"
Software_Sales_Billing,"Vielen Dank für die in Bezug auf die Produktverkäufe in Verbindung zu setzen.
Hier sind Details.
[Product Sales Details]
Hoffe das hilft. Bitte lassen Sie uns wissen, wenn Sie mehr oder spezifische Informationen benötigen.","Verkauf, Verkauf, Rabatt,"
Software_How_To,"Vielen Dank für die mit Fragen zu [Verfahren] Annäherung!
Hier sind die Anweisungen für gleiche:
[Anleitung Details]
Wenn Sie Fragen über die Art und Weise haben, zögern Sie nicht zu erreichen.","How To, Instruktion, Manuell, Guide,"
Software_Technical_Issue,"Vielen Dank für diesen Fehler in unserem Produkt berichten. Wir haben begonnen, daran zu arbeiten, und bald werden wir Sie auf ihre Resolution aktualisieren.","Technisches Problem, kann nicht es beheben, kann nicht um es öffnen, Debug"
Software_Cancellation,"Es tut uns Leid zu hören, dass Sie Ihr Abonnement kündigen möchten. Ich kann das mit Sicherheit für Sie tun. Würden Sie mir bitte sagen, warum du Cancelling? Wenn es mit dem Produkt oder Service-Qualität zu tun hat, würden wir gerne wissen, weil wir immer zu verbessern streben.","Annullieren, Stornierung"
Phase_complaint,"Leider gehen, dass Sie Problem mit unserem Produkt / Dienstleistung gegenüber. Wir versichern Ihnen, dass wir Ihre Beschwerde mit der gebotenen Aufmerksamkeit richten wird. warten freundlicherweise für einige Zeit, bis wir auf die Lösung funktioniert.","Beschwerde, Probleme,"
Software_Query,"Vielen Dank für die mit Fragen zu unserem Produkt-Service erreicht werden.
Hier sind die Details für gleiche:
[Abfrage Auflösung Details]
Wenn Sie Fragen über die Art und Weise haben, zögern Sie nicht zu erreichen.","Abfrage, Klärungen, Frage, Antwort,"
Request_for_Expert,Vielen Dank für die mit Wunsch heraus Unterstützung bei unserem Experten Techniker zu bekommen. Bald werden wir eine Person aus und senden Sie seine / ihre Kontakte und Zeitplan Details werden zuweisen.,"KMU-Hilfe, Techniker benötigen, Expert benötigen, KMU benötigen, müssen Specialist."
Phase_sla_breach,"Wir sind sehr traurig, dass wir Service Level Agreement zu diesem Thema Auflösung verletzt haben. geben Sie uns bitte, etwas mehr Zeit und wir werden zurück zu Ihnen mit der richtigen Auflösung.","SLA Verletzung, längere Reaktions, nicht gehört haben, für lange Pending,"
