Tags,Description,Intent Name
"Product Info, Information about Product, Planning to purchase","saurabh",Product_Initial_Info
"Cost, Price, Charges, Tax",,Product_Price 
"Pre-Sale Question, Before purchase, Before Sales, ",,Product_PreSales
"Order Status, Order Info",,Order_info 
"Order Return, Shipping back, ",,Product_Return 
"Shipping/Delivery, Product Delivery,",,Product_Delivery_Status 
Vendor issue,,Vendor_Issue
Affiliate issue,,Affiliate_Issue
Product Availability,,Product_Availability 
"Technical Issue, Not Working, ",,Technical_Issue
"Defective, Broken, Malfunctioning ",,Product_Defective 
"Cancel my order, Cancel product delivery ",,Order_Cancel_Request
Refund ,,Product_Refund_Request
"Start my subscription, Subscribe me, ",,Subscription_new 
Subscription Renewal ,,Subscription_Renewal 
Disruption ,,Service_Disruption 
"Unsubscribe, Cancellation, Discontinue",,Service_Cancel_request
Bug,,Software_bug
Feature Request,,Software_Feature_Request 
Sales Question – Billing ,,Software_Sales_Billing
"How To, Instruction, Manual, Guide, ",,Software_How_To
"Technical Issue, Unable to fix it, Unable to open it, Debug",,Software_Technical_Issue
"Subscription Cancel, Cancellation",,Software_Cancellation 
"Complaint, Issues, ",,Phase_complaint
"Query, Clarifications, Question, Answer, ",,Software_Query
"SME Help, Need technician, Need Expert, Need SME, Need Specialist. ",,Request_for_Expert 
"SLA breach, Longer Response, Have not heard, Pending for long,",,Phase_sla_breach
"Status of my ticket, Any Update, Waiting for resolution, Long time, ",,Phase_Resolution_Wait
"Fuck, Stupid, Bloody hell, Asshole, ",,Response_to_Diffuse_Situation 
"Frustrated, ",,Response_to_Angry_situation
"Worked, Working Now, Thanks for help, Close the Ticket, Close the ticket, It is working, Satisfaction",,Phase_Feedback
